Mere,type cross,Pere,
SA11-11,WG,SA16-8,
SA11-11,W-Pop,SA11-16,
SA11-11,W-Alt,SA17-4,
SA11-11,B-Alt,SA4-2,
SA11-11,SELF,SA11-11,
SA11-15,W-Pop,SA11-18,
SA11-15,W-Alt,SA16-14,
SA11-15,B-Alt,SA3-6,
SA11-15,SELF,SA11-15,
SA11-16,W-Pop,SA11-11,
SA11-16,W-Alt,SA16-12,
SA11-16,B-Alt,SA2-21,
SA11-18,W-Pop,SA11-15,
SA11-18,W-Alt,SA17-6,
SA11-18,B-Alt,SA3-10,
SA11-18,SELF,SA11-18,
SA16-12,W-Pop,SA16-9,
SA16-12,W-Alt,SA11-11,
SA16-12,B-Alt,SA4-12,
SA16-12,SELF,SA16-12,
SA16-14,W-Pop,SA16-28,
SA16-14,W-Alt,SA11-18,
SA16-28,W-Pop,SA16-14,
SA16-28,W-Alt,SA17-3,
SA16-28,B-Alt,SA2-6,
SA16-28,SELF,SA16-28,
SA16-9,W-Pop,SA16-12,
SA16-9,W-Alt,SA17-1,
SA16-9,B-Alt,SA2-2,
SA16-9,SELF,SA16-9,
SA17-1,W-Pop,SA17-4,
SA17-1,W-Alt,SA16-28,
SA17-1,B-Alt,SA2-1,
SA17-3,W-Pop,SA17-1,
SA17-3,W-Alt,SA16-9,
SA17-3,B-Alt,SA3-3,
SA17-3,SELF,SA17-3,
SA17-4,W-Pop,SA17-6,
SA17-4,W-Alt,SA11-16,
SA17-4,B-Alt,SA4-11,
SA17-4,SELF,SA17-4,
SA17-6,W-Pop,SA17-3,
SA17-6,W-Alt,SA11-15,
SA17-6,B-Alt,SA4-1,
SA17-6,SELF,SA17-6,
SA2-1,WG,SA3-6,
SA2-1,W-Pop,SA2-6,
SA2-1,W-Alt,SA3-6,
SA2-1,B-Alt,SA17-1,
SA2-1,SELF,SA2-1,
SA2-2,W-Pop,SA2-1,
SA2-2,W-Alt,SA4-2,
SA2-2,B-Alt,SA16-28,
SA2-2,SELF,SA2-2,
SA2-21,W-Pop,SA2-2,
SA2-21,W-Alt,SA3-3,
SA2-21,B-Alt,SA11-18,
SA2-21,SELF,SA2-21,
SA2-6,W-Pop,SA2-21,
SA2-6,W-Alt,SA4-12,
SA2-6,B-Alt,SA17-6,
SA2-6,SELF,SA2-6,
SA3-10,W-Pop,SA3-3,
SA3-10,W-Alt,SA2-2,
SA3-10,B-Alt,SA11-11,
SA3-3,W-Pop,SA3-6,
SA3-3,W-Alt,SA2-1,
SA3-3,SELF,SA3-3,
SA3-6,W-Pop,SA3-1,
SA3-6,W-Alt,SA4-11,
SA3-6,B-Alt,SA16-14,
SA3-6,SELF,SA3-6,
SA4-1,W-Pop,SA4-2,
SA4-1,W-Alt,SA2-21,
SA4-1,B-Alt,SA11-16,
SA4-1,SELF,SA4-1,
SA4-11,W-Pop,SA4-12,
SA4-11,W-Alt,SA3-10,
SA4-11,B-Alt,SA16-12,
SA4-11,SELF,SA4-11,
SA4-12,WG,SA4-3,
SA4-12,W-Pop,SA4-11,
SA4-12,B-Alt,SA16-9,
SA4-12,SELF,SA4-12,
SA4-2,W-Pop,SA4-1,
SA4-2,W-Alt,SA2-6,
SA4-2,B-Alt,SA11-15,
SA4-2,SELF,SA4-2,
SA11-16,SELF,SA11-16,
SA3-1,W-Pop,SA3-10,
SA3-1,SELF,SA3-1,
SA16-14,B-Alt,SA3-1,
SA3-3,B-Alt,SA17-3,
SA3-10,SELF,SA3-10,
SA17-1,SELF,SA17-1,
SA16-14,SELF,SA16-14,
SA3-1,W-Alt,SA4-1,
SA4-12,W-Alt,SA3-1,
SA16-14,WG,SA2-5,
,,,
