"Gen","Mother","Cross","Rep","Position","Flower_bud_1","Flower_1","Imature_fruit_1","Mature_fruit_1","Comment_collection"
"F2","SA4-1","W-Pop","rep_1","G1_P1_1","41718","41724","41729","41745",NA
"F2","SA2-2","W-Alt","rep_1","G1_P1_2","41742","41745","41750","41770",NA
"F2","SA2-6","W-Pop","rep_1","G1_P1_3","41729","41734","41739","41759",NA
"F2","SA17-6","B-Alt","rep_1","G1_P1_4","41753","41761","41767","41797",NA
"F2","SA4-2","W-Alt","rep_1","G1_P1_5","41740","41743","41750","41770",NA
"F2","SA4-2","W-Pop","rep_2","G1_P1_6","41747","41753","41757","41776",NA
"F2","SA17-3","W-Pop","rep_1","G1_P1_7","41770","41787","41792","41810",NA
"F2","SA4-11","W-Pop","rep_1","G1_P1_8","41747","41751","41757","41776",NA
"F1","SA11-18","W-Pop","rep_1","G1_P1_9","41747","41751","41753","41770",NA
"F2","SA2-21","W-Pop","rep_1","G1_P1_10","41728","41732","41736","41755",NA
"F2","SA4-2","W-Pop","rep_1","G1_P1_11","41750","41759","41761","41781",NA
"F2","SA4-11","B-Alt","rep_1","G1_P1_12","41755","41774","41780","41795",NA
"F2","SA11-16","W-Pop","rep_1","G1_P1_13","41736","41742","41747","41763",NA
"F1","SA11-11","WG","rep_1","G1_P1_14","41742","41745","41753","41772",NA
"F2","SA17-6","W-Pop","rep_1","G1_P1_15","41747","41766","41774","41789",NA
"F2","SA3-10","W-Alt","rep_1","G1_P1_16","41787","41791","41797","41815",NA
"F1","SA11-18","SELF","rep_1","G1_P1_17","41738","41742","41750","41767",NA
"F2","SA16-28","W-Alt","rep_1","G1_P1_18","41795","41808","41814","NA","Collection imature le 7/7"
"F2","SA17-4","W-Alt","rep_1","G1_P1_19","41757","41787","41789","41806",NA
"F2","SA4-1","W-Alt","rep_1","G1_P1_20","41745","41753","41757","41774",NA
"F2","SA16-12","SELF","rep_1","G1_P1_21","41703","41738","41740","41765",NA
"F2","SA2-1","W-Alt","rep_1","G1_P1_22","41729","41734","41738","41757",NA
"F2","SA4-11","B-Alt","rep_2","G1_P1_23","41750","41757","41765","41778",NA
"F2","SA4-1","W-Alt","rep_2","G1_P1_24","41740","41745","41750","41770",NA
"F1","SA11-18","W-Alt","rep_2","G1_P2_1","41757","41762","41767","41781",NA
"F1","SA2-6","W-Alt","rep_2","G1_P2_2","41738","41742","41747","41763",NA
"F1","SA11-16","W-Pop","rep_1","G1_P2_3","41738","41740","41747","41761",NA
"F2","SA4-11","W-Pop","rep_2","G1_P2_4","41747","41750","41753","41772",NA
"F2","SA16-14","W-Pop","rep_1","G1_P2_5","41755","NA","NA","NA","DEAD"
"F2","SA2-1","B-Alt","rep_2","G1_P2_6","41736","41742","41745","41763",NA
"F1","SA17-6","W-Pop","rep_2","G1_P2_7","41765","41774","41778","NA","DEAD"
"F2","SA4-11","W-Alt","rep_3","G1_P2_8","41757","41763","41767","41785",NA
"bord","bord","bord",NA,"G1_P2_9","NA","NA","NA","NA","DEAD"
"F2","SA11-11","W-Pop","rep_4","G1_P2_10","41736","41744","41745","41761",NA
"F2","SA2-6","W-Alt","rep_2","G1_P2_11","41745","41750","41753","41776",NA
"F1","SA16-28","W-Alt","rep_2","G1_P2_12","41753","41765","41771","41791",NA
"F1","SA16-28","SELF","rep_1","G1_P2_13","41755","41776","41785","41803",NA
"F2","SA4-2","W-Alt","rep_2","G1_P2_14","41755","41761","41765","41783",NA
"F2","SA2-21","W-Pop","rep_2","G1_P2_15","41742","41745","41750","41767",NA
"F2","SA4-2","SELF","rep_2","G1_P2_16","41759","NA","NA","41789","DEAD"
"F2","SA2-1","WG","rep_3","G1_P2_17","41725","41729","41733","41753",NA
"F1","SA16-9","B-Alt","rep_2","G1_P2_18","41745","41751","41755","41774",NA
"F2","SA4-11","B-Alt","rep_6","G1_P2_19","41741","41743","41747","41763",NA
"F1","SA16-14","B-Alt","rep_2","G1_P2_20","41785","41789","41794","41808",NA
"F1","SA3-6","W-Pop","rep_1","G1_P2_21","41757","41764","41767","41783",NA
"F2","SA17-3","B-Alt","rep_2","G1_P2_22","41753","41759","41764","41780",NA
"F1","SA16-9","W-Pop","rep_1","G1_P2_23","41729","41736","41738","41755",NA
"F2","SA17-1","B-Alt","rep_5","G1_P2_24","41736","41740","41744","41763",NA
"F2","SA16-28","W-Alt","rep_6","G1_P3_1","41763","41789","41797","NA","Collection imature le 7/7"
"F1","SA11-15","W-Pop","rep_2","G1_P3_2","41732","NA","NA","41759",NA
"F2","SA4-1","W-Pop","rep_7","G1_P3_3","41722","41729","41734","41750",NA
"F2","SA3-3","W-Pop","rep_5","G1_P3_4","41771","41783","41789","41806",NA
"F2","SA2-2","B-Alt","rep_7","G1_P3_5","41740","41745","41750","41765",NA
"F2","SA16-28","B-Alt","rep_6","G1_P3_6","41742","41750","41751","41776",NA
"F1","SA11-15","SELF","rep_2","G1_P3_7","41736","41740","41745","41763",NA
"F2","SA2-21","SELF","rep_2","G1_P3_8","41729","41734","41738","41757",NA
"F2","SA17-4","B-Alt","rep_2","G1_P3_9","41759","41768","41772","41791",NA
"F2","SA11-18","B-Alt","rep_5","G1_P3_10","41770","41778","41781","41799",NA
"F2","SA2-1","W-Pop","rep_7","G1_P3_11","41736","41740","41745","41763",NA
"F2","SA17-6","W-Alt","rep_5","G1_P3_12","41750","41761","41770","41787",NA
"F1","SA4-11","W-Alt","rep_2","G1_P3_13","41759","41764","41770","41787",NA
"F1","SA4-1","SELF","rep_1","G1_P3_14","41741","NA","NA","41767",NA
"F2","SA17-3","W-Pop","rep_5","G1_P3_15","41763","41787","41793","41810",NA
"F2","SA4-2","B-Alt","rep_5","G1_P3_16","41761","41768","41773","41791",NA
"F2","SA2-6","W-Alt","rep_3","G1_P3_17","41737","41742","41745","41763",NA
"F2","SA4-1","W-Alt","rep_6","G1_P3_18","41729","41731","41736","41757",NA
"F1","SA17-6","B-Alt","rep_2","G1_P3_19","41745","41753","41757","41772",NA
"F1","SA4-12","W-Pop","rep_2","G1_P3_20","41745","41753","41757","41772",NA
"F2","SA3-6","W-Alt","rep_3","G1_P3_21","41757","41762","41774","41787",NA
"F2","SA17-1","W-Alt","rep_5","G1_P3_22","41748","41773","41778","41806",NA
