"","Position","Total_length","Weight_3branch","Weight_tot","nb_siliq_branch1","nb_siliq_branch2","nb_siliq_branch3","Length_branch1","Length_branch2","Length_branch3","date_data_collection","Comment","nbsiliq_total_reel","nb_branch_total_estim","nb_siliq_per_g","nb_siliq_per_cm","nb_siliq_total_estim","nb_siliq_total_estim/reel"
"1","G1_P14_9","65","0.046199999999999998","0.34766000000000002","40","45","38","22","24","25",2014-07-23,"NA","NA","7.5251082251082257","2662.3376623376626","1.732394366197183","925.58831168831182",925.588311688312
"2","G1_P14_4","68","0.039550000000000002","0.68871000000000004","50","35","33","26","16","19",2014-07-23,"NA","NA","17.413653603034135","2983.5651074589127","1.9344262295081966","2054.8111251580281",2054.81112515803
"3","G1_P14_15","65","0.121","0.41711999999999999","43","52","67","29","38","44",2014-07-23,"NA","NA","3.4472727272727273","1338.8429752066115","1.4594594594594594","558.45818181818174",558.458181818182
"4","G1_P2_19","57","0.10055","0.53556999999999999","60","63","49","28","29","22",2014-07-23,"NA","NA","5.3264047737444056","1710.5917454002984","2.1772151898734178","916.14162108403775",916.141621084038
"5","G1_P14_11","48","0.033459999999999997","0.32378000000000001","33","23","43","18","14","22",2014-07-23,"NA","NA","9.6766288105200253","2958.7567244471015","1.8333333333333333","957.98625224148259",957.986252241483
"6","G1_P14_12","51","0.019400000000000001","0.074959999999999999","10","15","13","11","8","7",2014-07-23,"NA","NA","3.8639175257731959","1958.7628865979382","1.4615384615384615","146.82886597938145",146.828865979381
"7","G1_P14_20","76","0.034790000000000001","0.21784000000000001","32","41","19","18","14","8",2014-07-23,"NA","NA","6.2615694164989941","2644.4380569129057","2.2999999999999998","576.06438631790741",576.064386317907
"8","G1_P13_9","60","0.050569999999999997","0.27844000000000002","61","35","29","25","15","12",2014-07-23,"NA","NA","5.5060312438204475","2471.8212378880762","2.4038461538461537","688.25390547755603",688.253905477556
"9","G1_P13_3","81","0.10513","0.61514999999999997","57","49","51","31","29","34",2014-07-23,"NA","NA","5.8513269285646343","1493.3891372586322","1.6702127659574468","918.65832778464755",918.658327784648
"10","G1_P13_8","NA","NA","NA","NA","NA","NA","NA","NA","NA",2014-07-23,"dead","0","NA","NA","NA","NA",0
"11","G1_P13_7","71","0.10351","0.47205999999999998","47","41","50","31","27","29",2014-07-23,"NA","NA","4.5605255530866575","1333.2045213022895","1.5862068965517242","629.35252632595882",629.352526325959
"12","G1_P1_12","71","0.055419999999999997","0.74123000000000006","24","38","47","14","16","22",2014-07-14,"NA","NA","13.374774449657165","1966.7989895344642","2.0961538461538463","1457.8504150126309",1457.85041501263
"13","G1_P1_6","64","0.032419999999999997","0.38594000000000001","31","33","31","14","12","18",2014-07-14,"NA","NA","11.904380012338065","2930.2899444787172","2.1590909090909092","1130.9161011721162",1130.91610117212
"14","G2_P34_1","36","0.071279999999999996","0.64976","54","56","46","21","22","17",2014-07-14,"NA","NA","9.1156004489337832","2188.5521885521885","2.6000000000000001","1422.03367003367",1422.03367003367
"15","G1_P1_21","68","0.084150000000000003","0.97907999999999995","46","58","48","22","23","20",2014-07-14,"NA","NA","11.634937611408199","1806.2982768865122","2.3384615384615386","1768.5105169340463",1768.51051693405
"16","G1_P13_20","57","0.085769999999999999","0.37215999999999999","37","37","32","21","25","19",2014-07-14,"NA","NA","4.3390462865803894","1235.863355485601","1.6307692307692307","459.93890637752128",459.938906377521
"17","G1_P13_19","58","0.038429999999999999","0.57579999999999998","20","38","44","9","19","18",2014-07-14,"NA","NA","14.983086130627115","2654.1764246682278","2.2173913043478262","1528.2747853239655",1528.27478532397
"18","G1_P1_14","33","0.084250000000000005","0.29770000000000002","64","45","51","25","18","20",2014-07-14,"NA","NA","3.5335311572700299","1899.1097922848664","2.5396825396825395","565.36498516320478",565.364985163205
"19","G1_P1_13","41","0.078750000000000001","0.29004999999999997","20","56","40","9","23","16",2014-07-14,"NA","NA","3.6831746031746029","1473.015873015873","2.4166666666666665","427.24825396825395",427.248253968254
"20","G1_P1_7","74","0.044339999999999997","0.19892000000000001","34","26","33","21","12","16",2014-07-14,"NA","NA","4.4862426702751472","2097.428958051421","1.8979591836734695","417.22056833558867",417.220568335589
"21","G1_P1_8","66","0.043249999999999997","0.33068999999999998","29","24","33","17","12","21",2014-07-14,"NA","NA","7.6460115606936414","1988.4393063583816","1.72","657.55699421965323",657.556994219653
"22","G1_P1_17","87","0.099080000000000001","0.77981999999999996","55","52","59","38","35","34",2014-07-14,"NA","NA","7.8706096083972543","1675.4138070246265","1.5514018691588785","1306.5211949939442",1306.52119499394
"23","G2_P9_3","69","0.082919999999999994","0.39356000000000002","39","38","33","20","23","21",2014-07-14,"NA","NA","4.7462614568258568","1326.5798359864932","1.71875","522.0887602508443",522.088760250844
"24","G2_P9_10","75","0.11274000000000001","0.28702","63","67","31","25","36","17",2014-07-14,"NA","NA","2.5458577257406421","1428.0645733546212","2.0641025641025643","409.88309384424338",409.883093844243
"25","G2_P9_11","70","0.055489999999999998","0.53854999999999997","36","47","40","16","25","24",2014-07-14,"NA","NA","9.705352315732565","2216.6156064155703","1.8923076923076922","1193.7583348351052",1193.75833483511
"26","G1_P13_14","56","0.032550000000000003","0.36452000000000001","37","38","31","23","21","14",2014-07-14,"NA","NA","11.198771121351767","3256.5284178187403","1.8275862068965518","1187.0697388632873",1187.06973886329
"27","G1_P14_2","71","0.044359999999999997","0.36803000000000002","50","19","42","24","9","23",2014-07-14,"NA","NA","8.2964382326420214","2502.2542831379624","1.9821428571428572","920.90464382326434",920.904643823264
"28","G1_P7_19","55","0.044569999999999999","0.19356000000000001","22","16","35","10","11","21",2014-07-14,"NA","NA","4.3428315010096483","1637.8730087502804","1.7380952380952381","317.02669957370426",317.026699573704
"29","G1_P13_2","37","0.035610000000000003","0.081089999999999995","13","11","16","6","5","8",2014-07-14,"NA","NA","2.2771693344566128","1123.2799775344004","2.1052631578947367","91.086773378264525",91.0867733782645
"30","G1_P1_18","51","NA","NA","NA","NA","NA","NA","NA","NA",2014-07-14,"green plant. Total nb of siliq = 28","28","NA","NA","NA","NA",28
"31","G1_P11_12","73","0.054059999999999997","0.67935999999999996","45","32","31","32","18","19",2014-07-14,"NA","NA","12.56677765445801","1997.780244173141","1.5652173913043479","1357.2119866814651",1357.21198668147
"32","G1_P20_18","58","0.033340000000000002","0.41277999999999998","29","27","33","15","12","12",2014-07-14,"NA","NA","12.380923815236951","2669.4661067786442","2.2820512820512819","1101.9022195560888",1101.90221955609
"33","G2_P9_14","71","0.069339999999999999","0.41047","41","46","58","18","23","22",2014-07-14,"NA","NA","5.9196711854629367","2091.1450822036345","2.3015873015873014","858.35232189212581",858.352321892126
"34","G2_P9_8","25","0.061159999999999999","0.089569999999999997","30","20","12","11","7","5",2014-07-14,"NA","NA","1.4645192936559843","1013.7344669718771","2.6956521739130435","90.800196206671018",90.800196206671
"35","G2_P9_19","NA","NA","NA","NA","NA","NA","NA","NA","NA",2014-07-14,"dead","0","NA","NA","NA","NA",0
"36","G2_P9_13","80","0.055780000000000003","0.66225000000000001","28","42","57","13","22","29",2014-07-14,"NA","NA","11.872534958766582","2276.8017210469702","1.984375","1507.8119397633561",1507.81193976336
"37","G2_P9_21","69","0.047940000000000003","0.60148999999999997","39","38","56","21","18","27",2014-07-14,"NA","NA","12.546725073007925","2774.3012098456402","2.0151515151515151","1668.7144347100541",1668.71443471005
"38","G2_P20_11","35","0.05382","0.31408000000000003","28","31","28","10","15","10",2014-07-14,"NA","NA","5.8357487922705316","1616.499442586399","2.4857142857142858","507.71014492753625",507.710144927536
"39","G2_P20_12","30","0.038969999999999998","NA","15","11","5","16","4","4",2014-07-14,"only 4 branches 3 siliq on the 4th","34","NA","NA","NA","NA",34
"40","G2_P9_1","8","0.0093799999999999994","NA","10","NA","NA","4","NA","NA",2014-07-14,"only 1 branch. Total nb siliq= 10","10","NA","NA","NA","NA",10
"41","G2_P9_4","61","0.0499","0.28010000000000002","34","35","26","19","19","14",2014-07-14,"NA","NA","5.6132264529058116","1903.8076152304609","1.8269230769230769","533.25651302605218",533.256513026052
"42","G2_P9_6","50","0.041570000000000003","0.45637","21","29","21","10","15","9",2014-07-14,"NA","NA","10.978349771469809","1707.9624729372142","2.0882352941176472","779.46283377435645",779.462833774356
"43","G2_P9_16","69","0.11146","0.52268999999999999","41","42","25","29","34","21",2014-07-14,"NA","NA","4.6894850170464739","968.95747353310605","1.2857142857142858","506.46438184101919",506.464381841019
"44","G2_P9_22","88","0.1085","0.79940999999999995","56","76","62","37","53","44",2014-07-14,"NA","NA","7.3678341013824884","1788.0184331797236","1.4477611940298507","1429.3598156682028",1429.3598156682
"45","G1_P19_10","54","0.057270000000000001","0.43201000000000001","37","40","39","22","26","23",2014-07-14,"NA","NA","7.5433909551248473","2025.4932774576566","1.6338028169014085","875.0333507944822",875.033350794482
"46","G1_P5_7","55","0.039910000000000001","0.34932999999999997","38","32","53","17","16","25",2014-07-14,"NA","NA","8.7529441242796278","3081.9343522926583","2.1206896551724137","1076.6121272863943",1076.61212728639
"47","G1_P13_12","64","0.076899999999999996","0.45067000000000002","42","55","41","21","25","20",2014-07-14,"NA","NA","5.8604681404421335","1794.5383615084527","2.0909090909090908","808.74460338101437",808.744603381014
"48","G1_P13_17","24","0.053769999999999998","0.10546","22","16","15","8","5","4",2014-07-14,"NA","NA","1.9613167193602381","985.67974707085739","3.1176470588235294","103.94978612609262",103.949786126093
"49","G1_P13_10","52","0.065909999999999996","0.27023000000000003","30","21","45","18","8","25",2014-07-14,"NA","NA","4.0999848277954793","1456.5316340464269","1.8823529411764706","393.59854346836596",393.598543468366
"50","G1_P13_5","74","0.076480000000000006","0.30202000000000001","18","21","66","10","13","37",2014-07-14,"NA","NA","3.9490062761506275","1372.9079497907949","1.75","414.64565899581589",414.645658995816
"51","G1_P13_6","43","0.036929999999999998","0.24815999999999999","31","30","32","18","16","17",2014-07-14,"NA","NA","6.7197400487408609","2518.2778229082051","1.8235294117647058","624.93582453290014",624.9358245329
"52","G1_P13_13","63","0.086230000000000001","0.50583999999999996","67","52","51","35","30","31",2014-07-14,"NA","NA","5.8661718659399273","1971.4716455989794","1.7708333333333333","997.24921720978762",997.249217209788
"53","G1_P1_23","89","0.14312","1.05901","56","61","51","39","38","31",2014-07-14,"NA","NA","7.3994550027948574","1173.8401341531583","1.5555555555555556","1243.1084404695362",1243.10844046954
"54","G1_P1_20","65","0.069570000000000007","0.62058000000000002","48","57","49","23","25","19",2014-07-14,"NA","NA","8.9202242345838716","2213.5978151502081","2.2985074626865671","1373.7145321259163",1373.71453212592
"55","G1_P29_22","64","0.13297999999999999","0.53639999999999999","49","86","44","32","44","24",2014-07-14,"NA","NA","4.0336892765829448","1346.0670777560538","1.79","722.03038050834721",722.030380508347
"56","G1_P29_1","68","0.089749999999999996","0.55757999999999996","62","82","25","36","44","14",2014-07-14,"NA","NA","6.2125905292479109","1883.0083565459611","1.7978723404255319","1049.9277994428969",1049.9277994429
"57","G1_P12_23","19","0.033029999999999997","0.11718000000000001","20","21","32","10","8","12",2014-07-14,"NA","NA","3.5476839237057227","2210.112019376325","2.4333333333333331","258.9809264305178",258.980926430518
"58","G1_P35_12","55","0.048899999999999999","0.39128000000000002","40","46","29","15","21","13",2014-07-14,"NA","NA","8.0016359918200415","2351.7382413087935","2.3469387755102042","920.18813905930472",920.188139059305
"59","G1_P5_3","49","0.062289999999999998","0.41452","23","29","33","15","19","24",2014-07-14,"NA","NA","6.6546797238722109","1364.5850056188794","1.4655172413793103","565.6477765291379",565.647776529138
"60","G1_P5_8","60","0.16578999999999999","0.29060999999999998","79","50","40","43","25","20",2014-07-14,"NA","NA","1.7528801495868267","1019.3618432957356","1.9204545454545454","296.23674528017369",296.236745280174
"61","G1_P5_24","61","0.13139999999999999","0.49120999999999998","79","70","73","45","38","37",2014-07-14,"NA","NA","3.7382800608828006","1689.4977168949772","1.8500000000000001","829.89817351598174",829.898173515982
"62","G1_P5_10","52","0.045929999999999999","0.14246","28","15","24","19","5","12",2014-07-14,"NA","NA","3.1016764641846288","1458.7415632484215","1.8611111111111112","207.81232310037012",207.81232310037
"63","G1_P5_15","77","0.086209999999999995","0.79200999999999999","56","58","40","30","28","21",2014-07-14,"NA","NA","9.1869852685303339","1786.3356919150913","1.9493670886075949","1414.7957313536715",1414.79573135367
"64","G1_P5_4","61","0.1048","0.52422999999999997","21","63","53","15","36","30",2014-07-14,"NA","NA","5.0021946564885491","1307.2519083969464","1.691358024691358","685.30066793893116",685.300667938931
"65","G1_P35_15","69","0.065070000000000003","0.33888000000000001","31","19","28","21","19","20",2014-07-15,"NA","NA","5.2079299216228678","1198.7090825265097","1.3","406.21853388658366",406.218533886584
