Mother_line	Mother_pop	Father_line	Father_pop	Gen	Weight	Fitness
G1_P14_9	SA2-21	SA2	SA11-18	SA11	F2	0.348	926
G1_P14_4	SA2-1	SA2	SA3-6	SA3	F2	0.689	2055
G1_P14_15	SA11-18	SA11	SA11-15	SA11	F2	0.417	558
G1_P2_19	SA4-11	SA4	SA16-12	SA16	F2	0.536	916
G1_P14_11	SA16-28	SA16	SA2-6	SA2	F2	0.324	958
G1_P14_12	SA4-12	SA4	SA4-3	SA4	F2	0.075	147
G1_P14_20	SA17-3	SA17	SA17-1	SA17	F2	0.218	576
G1_P13_9	SA4-1	SA4	SA2-21	SA2	F2	0.278	688
G1_P13_3	SA4-11	SA4	SA4-11	SA4	F1	0.615	919
G1_P13_8	SA17-1	SA17	SA17-4	SA17	F2	NA	NA
G1_P13_7	SA17-6	SA17	SA4-1	SA4	F2	0.472	629
G1_P1_12	SA4-11	SA4	SA16-12	SA16	F2	0.741	1458
G1_P1_6	SA4-2	SA4	SA4-1	SA4	F2	0.386	1131
G2_P34_1	SA11-11	SA11	SA11-11	SA11	F1	0.65	1422
G1_P1_21	SA16-12	SA16	SA16-12	SA16	F2	0.979	1769
G1_P13_20	SA11-16	SA11	SA16-12	SA16	F2	0.372	460
G1_P13_19	SA2-6	SA2	SA17-6	SA17	F2	0.576	1528
G1_P1_14	SA11-11	SA11	SA16-8	SA16	F1	0.298	565
G1_P1_13	SA11-16	SA11	SA11-11	SA11	F2	0.29	427
G1_P1_7	SA17-3	SA17	SA17-1	SA17	F2	0.199	417
G1_P1_8	SA4-11	SA4	SA4-12	SA4	F2	0.331	658
G1_P1_17	SA11-18	SA11	SA11-18	SA11	F1	0.78	1307
G2_P9_3	SA4-1	SA4	SA4-2	SA4	F1	0.394	522
G2_P9_10	SA16-12	SA16	SA4-12	SA4	F2	0.287	410
G2_P9_11	SA4-12	SA4	SA4-3	SA4	F2	0.539	1194
G1_P13_14	SA2-6	SA2	SA17-6	SA17	F2	0.365	1187
G1_P14_2	SA11-18	SA11	SA17-6	SA17	F1	0.368	921
G1_P7_19	SA4-2	SA4	SA4-1	SA4	F1	0.194	317
G1_P13_2	SA3-6	SA3	SA16-14	SA16	F2	0.081	91
G1_P1_18	SA16-28	SA16	SA17-3	SA17	F2	NA	NA
G1_P11_12	SA3-6	SA3	SA4-11	SA4	F2	0.679	1357
G1_P20_18	SA2-1	SA2	SA2-1	SA2	F1	0.413	1102
G2_P9_14	SA16-28	SA16	SA2-6	SA2	F1	0.41	858
G2_P9_8	SA11-11	SA11	SA11-16	SA11	F2	0.09	91
G2_P9_19	SA17-4	SA17	SA4-11	SA4	F2	NA	NA
G2_P9_13	SA4-2	SA4	SA2-6	SA2	F2	0.662	1508
G2_P9_21	SA4-1	SA4	SA2-21	SA2	F2	0.601	1669
G2_P20_11	SA17-3	SA17	SA17-3	SA17	F1	0.314	508
G2_P20_12	SA16-14	SA16	SA2-5	SA2	F1	NA	NA
G2_P9_1	SA11-18	SA11	SA11-15	SA11	F2	NA	NA
G2_P9_4	SA16-9	SA16	SA17-1	SA17	F1	0.28	533
G2_P9_6	SA11-16	SA11	SA16-12	SA16	F2	0.456	779
G2_P9_22	SA17-1	SA17	SA2-1	SA2	F2	0.799	1429
G1_P19_10	SA3-3	SA3	SA2-1	SA2	F2	0.432	875
G1_P5_7	SA2-21	SA2	SA2-21	SA2	F1	0.349	1077
G1_P13_12	SA2-1	SA2	SA2-1	SA2	F2	0.451	809
G1_P13_17	SA11-15	SA11	SA16-14	SA16	F2	0.105	104
G1_P13_10	SA3-3	SA3	SA3-6	SA3	F2	0.27	394
G1_P13_5	SA17-3	SA17	SA16-9	SA16	F2	0.302	415
G1_P13_6	SA16-14	SA16	SA11-18	SA11	F2	0.248	625
G1_P13_13	SA17-1	SA17	SA2-1	SA2	F2	0.506	997
G1_P1_23	SA4-11	SA4	SA16-12	SA16	F2	1.059	1243
G1_P1_20	SA4-1	SA4	SA2-21	SA2	F2	0.621	1374
G1_P29_22	SA16-12	SA16	SA11-11	SA11	F2	0.536	722
G1_P29_1	SA16-12	SA16	SA16-9	SA16	F1	0.558	1050
G1_P12_23	SA2-2	SA2	SA16-28	SA16	F2	0.117	259
G1_P35_12	SA2-21	SA2	SA2-21	SA2	F1	0.391	920
G1_P5_3	SA3-6	SA3	SA3-1	SA3	F2	0.415	566
G1_P5_8	SA11-11	SA11	SA4-2	SA4	F2	0.291	296
G1_P5_24	SA3-3	SA3	SA3-6	SA3	F1	0.491	830
G1_P5_10	SA11-18	SA11	SA17-6	SA17	F2	0.142	208
G1_P5_15	SA16-12	SA16	SA16-9	SA16	F2	0.792	1415
G1_P5_4	SA11-11	SA11	SA4-2	SA4	F1	0.524	685
G1_P35_15	SA17-3	SA17	SA16-9	SA16	F2	0.339	406
G1_P35_16	SA4-11	SA4	SA3-10	SA3	F2	0.269	342
G2_P17_11	SA3-6	SA3	SA16-14	SA16	F2	0.538	1064
G2_P17_12	SA4-2	SA4	SA4-2	SA4	F2	0.595	1187
G2_P12_11	SA3-3	SA3	SA2-1	SA2	F1	0.339	46
G2_P12_1	SA17-6	SA17	SA17-6	SA17	F2	0.272	447
G2_P12_7	SA4-11	SA4	SA4-12	SA4	F2	0.571	1562
G2_P12_19	SA16-28	SA16	SA2-6	SA2	F1	0.561	1333
G2_P12_8	SA4-1	SA4	SA2-21	SA2	F1	0.52	926
G2_P12_14	SA3-10	SA3	SA3-3	SA3	F2	0.563	735
G1_P13_1	SA4-2	SA4	SA11-15	SA11	F1	0.5	574
G1_P1_11	SA4-2	SA4	SA4-1	SA4	F2	0.483	674
G1_P1_5	SA4-2	SA4	SA2-6	SA2	F2	0.551	1311
G1_P1_4	SA17-6	SA17	SA4-1	SA4	F2	0.481	1294
G1_P1_10	SA2-21	SA2	SA2-2	SA2	F2	0.348	845
G1_P1_2	SA2-2	SA2	SA4-2	SA4	F2	0.538	1154
G1_P1_15	SA17-6	SA17	SA17-3	SA17	F2	0.38	1236
G1_P1_1	SA4-1	SA4	SA4-2	SA4	F2	0.521	1079
G1_P1_22	SA2-1	SA2	SA3-6	SA3	F2	0.421	846
G2_P17_20	SA3-1	SA3	SA4-1	SA4	F1	0.283	278
G2_P17_15	SA4-11	SA4	SA3-10	SA3	F2	0.202	551
G2_P17_9	SA2-21	SA2	SA11-18	SA11	F2	0.563	1213
G2_P17_4	SA11-18	SA11	SA11-15	SA11	F1	0.603	546
G2_P17_16	SA3-6	SA3	SA3-1	SA3	F1	0.635	971
G2_P17_22	SA17-6	SA17	SA11-15	SA11	F1	0.354	339
G2_P17_5	SA11-11	SA11	SA11-16	SA11	F2	0.219	325
G2_P17_23	SA16-28	SA16	SA16-14	SA16	F1	0.036	64
G1_P10_24	SA2-21	SA2	SA11-18	SA11	F2	0.438	1101
G1_P10_12	SA2-1	SA2	SA3-6	SA3	F2	0.425	1030
G1_P1_3	SA2-6	SA2	SA2-21	SA2	F2	0.418	1225
G1_P10_11	SA17-1	SA17	SA2-1	SA2	F2	0.498	1487
G1_P29_12	SA17-1	SA17	SA16-28	SA16	F2	0.202	493
G1_P29_24	SA16-28	SA16	SA16-14	SA16	F2	NA	NA
G1_P10_23	SA4-12	SA4	SA4-11	SA4	F2	0.979	1831
G1_P10_17	SA16-9	SA16	SA2-2	SA2	F2	0.161	431
G1_P1_9	SA11-18	SA11	SA11-15	SA11	F1	0.237	267
G1_P10_6	SA11-16	SA11	SA11-11	SA11	F2	0.261	390
G1_P10_9	SA16-14	SA16	SA11-18	SA11	F2	0.164	123
G1_P10_10	SA17-3	SA17	SA17-3	SA17	F1	0.224	311
G1_P10_3	SA16-14	SA16	SA11-18	SA11	F2	NA	NA
G1_P10_15	SA17-1	SA17	SA17-1	SA17	F1	0.26	39
G1_P10_22	SA11-18	SA11	SA11-15	SA11	F2	0.353	733
G1_P10_2	SA11-15	SA11	SA3-6	SA3	F2	0.58	738
G1_P10_19	SA16-12	SA16	SA11-11	SA11	F2	0.316	428
G1_P10_14	SA17-1	SA17	SA16-28	SA16	F2	0.195	388
G1_P10_13	SA16-28	SA16	SA2-6	SA2	F2	0.399	1170
G1_P10_20	SA17-4	SA17	SA17-6	SA17	F2	0.234	519
